checkpoint,phenomenon,s1_pref,s2_pref,s3_pref
0,wh_questions,0.504,0.124,0.372
0,yn_questions,0.474,0.526,0.0
10000,wh_questions,0.476,0.3,0.224
10000,yn_questions,0.666,0.334,0.0
20000,wh_questions,0.522,0.374,0.104
20000,yn_questions,0.754,0.246,0.0
30000,wh_questions,0.796,0.098,0.106
30000,yn_questions,0.726,0.274,0.0
40000,wh_questions,0.692,0.064,0.244
40000,yn_questions,0.85,0.15,0.0
50000,wh_questions,0.732,0.04,0.228
50000,yn_questions,0.866,0.134,0.0
64000,wh_questions,0.61,0.034,0.356
64000,yn_questions,0.904,0.096,0.0
64010,wh_questions,0.666,0.008,0.326
64010,yn_questions,0.826,0.174,0.0
64020,wh_questions,0.654,0.024,0.322
64020,yn_questions,0.8,0.2,0.0
64030,wh_questions,0.628,0.044,0.328
64030,yn_questions,0.898,0.102,0.0
64040,wh_questions,0.622,0.054,0.324
64040,yn_questions,0.886,0.114,0.0
64050,wh_questions,0.63,0.058,0.312
64050,yn_questions,0.918,0.082,0.0
64060,wh_questions,0.586,0.112,0.302
64060,yn_questions,0.912,0.088,0.0
64070,wh_questions,0.564,0.148,0.288
64070,yn_questions,0.92,0.08,0.0
64080,wh_questions,0.51,0.198,0.292
64080,yn_questions,0.918,0.082,0.0
64090,wh_questions,0.554,0.164,0.282
64090,yn_questions,0.944,0.056,0.0
64100,wh_questions,0.532,0.188,0.28
64100,yn_questions,0.94,0.06,0.0
64110,wh_questions,0.558,0.168,0.274
64110,yn_questions,0.966,0.034,0.0
64120,wh_questions,0.54,0.162,0.298
64120,yn_questions,0.922,0.078,0.0
64130,wh_questions,0.508,0.168,0.324
64130,yn_questions,0.916,0.084,0.0
64140,wh_questions,0.514,0.186,0.3
64140,yn_questions,0.948,0.052,0.0
64150,wh_questions,0.536,0.19,0.274
64150,yn_questions,0.966,0.034,0.0
64160,wh_questions,0.48,0.202,0.318
64160,yn_questions,0.968,0.032,0.0
64170,wh_questions,0.466,0.194,0.34
64170,yn_questions,0.966,0.034,0.0
64180,wh_questions,0.478,0.182,0.34
64180,yn_questions,0.974,0.026,0.0
64190,wh_questions,0.45,0.192,0.358
64190,yn_questions,0.98,0.02,0.0
64200,wh_questions,0.41,0.21,0.38
64200,yn_questions,0.98,0.02,0.0
64300,wh_questions,0.24,0.326,0.434
64300,yn_questions,0.966,0.034,0.0
64400,wh_questions,0.22,0.354,0.426
64400,yn_questions,0.97,0.03,0.0
64500,wh_questions,0.044,0.432,0.524
64500,yn_questions,0.94,0.06,0.0
64600,wh_questions,0.026,0.452,0.522
64600,yn_questions,0.954,0.046,0.0
64700,wh_questions,0.006,0.472,0.522
64700,yn_questions,0.94,0.06,0.0
64800,wh_questions,0.034,0.442,0.524
64800,yn_questions,0.918,0.082,0.0
64900,wh_questions,0.012,0.452,0.536
64900,yn_questions,0.922,0.078,0.0
65000,wh_questions,0.016,0.392,0.592
65000,yn_questions,0.868,0.132,0.0
66000,wh_questions,0.0,0.388,0.612
66000,yn_questions,0.768,0.232,0.0
67000,wh_questions,0.0,0.326,0.674
67000,yn_questions,0.592,0.408,0.0
68000,wh_questions,0.002,0.298,0.7
68000,yn_questions,0.588,0.412,0.0
69000,wh_questions,0.002,0.28,0.718
69000,yn_questions,0.54,0.46,0.0
70000,wh_questions,0.0,0.328,0.672
70000,yn_questions,0.548,0.452,0.0
80000,wh_questions,0.006,0.24,0.754
80000,yn_questions,0.438,0.562,0.0
90000,wh_questions,0.002,0.182,0.816
90000,yn_questions,0.444,0.556,0.0
100000,wh_questions,0.008,0.314,0.678
100000,yn_questions,0.494,0.506,0.0
110000,wh_questions,0.006,0.264,0.73
110000,yn_questions,0.442,0.558,0.0
120000,wh_questions,0.01,0.202,0.788
120000,yn_questions,0.39,0.61,0.0
128000,wh_questions,0.014,0.194,0.792
128000,yn_questions,0.39,0.61,0.0
